EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d6edfca0-cf87-4494-a125-63aca4d76cf9,original,2,-1,-1,jacoco_class_method.missedratio,1.0,,,2023-05-11T14:12:02.056Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,1b9a105a-40c3-4259-8767-510f6afd3e5f,original,5,-1,-1,jacoco_class_line.covered,0,,,2023-05-11T14:12:02.359Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,1b9a105a-40c3-4259-8767-510f6afd3e5f,original,7,-1,-1,jacoco_class_class.covered,0,,,2023-05-11T14:12:02.517Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,9,-1,-1,jacoco_class_instruction.missed,69,,,2023-05-11T14:12:01.192Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,4,-1,-1,jacoco_class_method.total,6,,,2023-05-11T14:12:02.274Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,8,-1,-1,jacoco_class_complexity.total,9,,,2023-05-11T14:12:01.196Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,9,-1,-1,jacoco_class_class.missed,1,,,2023-05-11T14:12:01.427Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,9,-1,-1,jacoco_class_method.covered,0,,,2023-05-11T14:12:02.682Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,5,-1,-1,jacoco_class_branch.missed,14,,,2023-05-11T14:12:02.456Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,7,-1,-1,jacoco_class_class.coveredratio,0.0,,,2023-05-11T14:12:00.974Z,0
